שאוליאן,אבן יהודה,רימון 3 אזור תעשייה אבן יהודה,97409835
שאוליאן ראשי,אשדוד,הקיטור 1  אזור תעשייה צפוני,89219696
מכירת מוצרי חשמל-יעקוב,בית שמש,נהר הירדן 26,772145300
טכנו מיקס- מעבדה,בני ברק,חבקוק 25,35704806
אלקטרו אשד,בת ים,רוטשילד 39,35063582
שרות רם הדר,חיפה,ביאליק 9,48620162
שרות רם נווה שאנן,חיפה,טרומפלדור 29,48227227
שרות רם,חיפה,יפו 44,48512885
שרות רם,טבעון,האלונים 67,774205400
חשמל הבית,ירושלים,עזרא 12 פינת יחזקאל 1,25814507
שרות רם,מגדל העמק,העצמון 14/3,46457035
חשמל אדיר,מודיעין,עמק האלה 80,89465678
שרות רם,מפרץ חיפה,שדרות ההסתדרות 277 בתחנת הדלק,48720642
שרות רם,נצרת עלית,הניצנים 39,46601177
רמי אלקטרוניקה,נתניה,שער העמק 1,98613527
שרות רם,עפולה,הולנד 16,49531444
שרות רם,קרית שמונה,רסקו 44,46903674
אלקטרו בוגדרי,ראשון לציון,יהודה לייב פינסקר 4,39666492
חשמל עופר,רחובות,הרצל 166,89455959
חשמל הרצל,רמת גן,הרצל 63,36700140
מעבדת השרון,רמת השרון,אוסישקין 31,35477745
אלקטרו מור,תל אביב,לה-גווארדיה 22,36878203
